sim.id,status,reg.of.origin,w,alpha,beta,sigma_E,carry.cap,energy.gradient,max.K,num.of.bins,max.time,max.richness,replicate,disturb_frequency,temperate_disturb_intensity,tropical_disturb_intensity,specn.gradient,specn.factor,gamma
8501,test,tropical,3,1.00E-04,0.01,1,on,on,40000,11,100,3000,0,0,0,0,off,NA,0.1
8502,test,tropical,3,1.00E-04,0.01,1,on,on,40000,11,100,3000,0,0,0,0,off,NA,0.1
8503,test,tropical,3,1.00E-04,0.01,1,on,on,40000,11,100,3000,0,0,0,0,off,NA,0.1
8504,test,tropical,3,1.00E-04,0.01,1,on,on,40000,11,100,3000,0,0,0,0,off,NA,0.1
0,completed,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,off,NA,0.1
1,completed,tropical,1,1.00E-05,1.00E-04,1,on,on,10000,11,30000,3000,0,0,0,0,off,NA,0.1
2,completed,tropical,1,1.00E-05,1.00E-04,1,on,off,10000,11,30000,3000,0,0,0,0,off,NA,0.1
3,completed,tropical,1,1.00E-05,1.00E-04,1,off,on,10000,11,30000,3000,0,0,0,0,off,NA,0.1
4,completed,tropical,1,1.00E-05,1.00E-04,1,off,off,10000,11,30000,3000,0,0,0,0,off,NA,0.1
5,completed,tropical,1,1.00E-05,1.00E-04,3,on,on,10000,11,30000,3000,0,0,0,0,off,NA,0.1
6,completed,tropical,1,1.00E-05,1.00E-04,3,on,off,10000,11,30000,3000,0,0,0,0,off,NA,0.1
7,completed,tropical,1,1.00E-05,1.00E-04,3,off,on,10000,11,30000,3000,0,0,0,0,off,NA,0.1
8,completed,tropical,1,1.00E-05,1.00E-04,3,off,off,10000,11,30000,3000,0,0,0,0,off,NA,0.1
9,completed,tropical,1,1.00E-05,1.00E-04,5,on,on,10000,11,30000,3000,0,0,0,0,off,NA,0.1
10,completed,tropical,1,1.00E-05,1.00E-04,5,on,off,10000,11,30000,3000,0,0,0,0,off,NA,0.1
11,completed,tropical,1,1.00E-05,1.00E-04,5,off,on,10000,11,30000,3000,0,0,0,0,off,NA,0.1
12,completed,tropical,1,1.00E-05,1.00E-04,5,off,off,10000,11,30000,3000,0,0,0,0,off,NA,0.1
13,completed,tropical,1,1.00E-05,1.00E-04,7,on,on,10000,11,30000,3000,0,0,0,0,off,NA,0.1
14,completed,tropical,1,1.00E-05,1.00E-04,7,on,off,10000,11,30000,3000,0,0,0,0,off,NA,0.1
15,completed,tropical,1,1.00E-05,1.00E-04,7,off,on,10000,11,30000,3000,0,0,0,0,off,NA,0.1
16,completed,tropical,1,1.00E-05,1.00E-04,7,off,off,10000,11,30000,3000,0,0,0,0,off,NA,0.1
17,completed,tropical,1,1.00E-05,1.00E-04,9,on,on,10000,11,30000,3000,0,0,0,0,off,NA,0.1
18,completed,tropical,1,1.00E-05,1.00E-04,9,on,off,10000,11,30000,3000,0,0,0,0,off,NA,0.1
19,completed,tropical,1,1.00E-05,1.00E-04,9,off,on,10000,11,30000,3000,0,0,0,0,off,NA,0.1
20,completed,tropical,1,1.00E-05,1.00E-04,9,off,off,10000,11,30000,3000,0,0,0,0,off,NA,0.1
21,completed,tropical,1,1.00E-05,1.00E-04,11,on,on,10000,11,30000,3000,0,0,0,0,off,NA,0.1
22,completed,tropical,1,1.00E-05,1.00E-04,11,on,off,10000,11,30000,3000,0,0,0,0,off,NA,0.1
23,completed,tropical,1,1.00E-05,1.00E-04,11,off,on,10000,11,30000,3000,0,0,0,0,off,NA,0.1
24,completed,tropical,1,1.00E-05,1.00E-04,11,off,off,10000,11,30000,3000,0,0,0,0,off,NA,0.1
25,completed,tropical,1,1.00E-05,0.001,1,on,on,10000,11,30000,3000,0,0,0,0,off,NA,0.1
26,completed,tropical,1,1.00E-05,0.001,1,on,off,10000,11,30000,3000,0,0,0,0,off,NA,0.1
27,completed,tropical,1,1.00E-05,0.001,1,off,on,10000,11,30000,3000,0,0,0,0,off,NA,0.1
28,completed,tropical,1,1.00E-05,0.001,1,off,off,10000,11,30000,3000,0,0,0,0,off,NA,0.1
29,completed,tropical,1,1.00E-05,0.001,3,on,on,10000,11,30000,3000,0,0,0,0,off,NA,0.1
30,completed,tropical,1,1.00E-05,0.001,3,on,off,10000,11,30000,3000,0,0,0,0,off,NA,0.1
31,completed,tropical,1,1.00E-05,0.001,3,off,on,10000,11,30000,3000,0,0,0,0,off,NA,0.1
32,completed,tropical,1,1.00E-05,0.001,3,off,off,10000,11,30000,3000,0,0,0,0,off,NA,0.1
33,completed,tropical,1,1.00E-05,0.001,5,on,on,10000,11,30000,3000,0,0,0,0,off,NA,0.1
34,completed,tropical,1,1.00E-05,0.001,5,on,off,10000,11,30000,3000,0,0,0,0,off,NA,0.1
35,completed,tropical,1,1.00E-05,0.001,5,off,on,10000,11,30000,3000,0,0,0,0,off,NA,0.1
36,completed,tropical,1,1.00E-05,0.001,5,off,off,10000,11,30000,3000,0,0,0,0,off,NA,0.1
37,completed,tropical,1,1.00E-05,0.001,7,on,on,10000,11,30000,3000,0,0,0,0,off,NA,0.1
38,completed,tropical,1,1.00E-05,0.001,7,on,off,10000,11,30000,3000,0,0,0,0,off,NA,0.1
39,completed,tropical,1,1.00E-05,0.001,7,off,on,10000,11,30000,3000,0,0,0,0,off,NA,0.1
40,completed,tropical,1,1.00E-05,0.001,7,off,off,10000,11,30000,3000,0,0,0,0,off,NA,0.1
41,completed,tropical,1,1.00E-05,0.001,9,on,on,10000,11,30000,3000,0,0,0,0,off,NA,0.1
42,completed,tropical,1,1.00E-05,0.001,9,on,off,10000,11,30000,3000,0,0,0,0,off,NA,0.1
43,completed,tropical,1,1.00E-05,0.001,9,off,on,10000,11,30000,3000,0,0,0,0,off,NA,0.1
44,completed,tropical,1,1.00E-05,0.001,9,off,off,10000,11,30000,3000,0,0,0,0,off,NA,0.1
45,completed,tropical,1,1.00E-05,0.001,11,on,on,10000,11,30000,3000,0,0,0,0,off,NA,0.1
46,completed,tropical,1,1.00E-05,0.001,11,on,off,10000,11,30000,3000,0,0,0,0,off,NA,0.1
47,completed,tropical,1,1.00E-05,0.001,11,off,on,10000,11,30000,3000,0,0,0,0,off,NA,0.1
48,completed,tropical,1,1.00E-05,0.001,11,off,off,10000,11,30000,3000,0,0,0,0,off,NA,0.1
49,completed,tropical,1,1.00E-05,0.01,1,on,on,10000,11,30000,3000,0,0,0,0,off,NA,0.1
50,completed,tropical,1,1.00E-05,0.01,1,on,off,10000,11,30000,3000,0,0,0,0,off,NA,0.1
51,completed,tropical,1,1.00E-05,0.01,1,off,on,10000,11,30000,3000,0,0,0,0,off,NA,0.1
52,completed,tropical,1,1.00E-05,0.01,1,off,off,10000,11,30000,3000,0,0,0,0,off,NA,0.1
53,completed,tropical,1,1.00E-05,0.01,3,on,on,10000,11,30000,3000,0,0,0,0,off,NA,0.1
54,completed,tropical,1,1.00E-05,0.01,3,on,off,10000,11,30000,3000,0,0,0,0,off,NA,0.1
55,completed,tropical,1,1.00E-05,0.01,3,off,on,10000,11,30000,3000,0,0,0,0,off,NA,0.1
56,completed,tropical,1,1.00E-05,0.01,3,off,off,10000,11,30000,3000,0,0,0,0,off,NA,0.1
57,completed,tropical,1,1.00E-05,0.01,5,on,on,10000,11,30000,3000,0,0,0,0,off,NA,0.1
58,completed,tropical,1,1.00E-05,0.01,5,on,off,10000,11,30000,3000,0,0,0,0,off,NA,0.1
59,completed,tropical,1,1.00E-05,0.01,5,off,on,10000,11,30000,3000,0,0,0,0,off,NA,0.1
60,completed,tropical,1,1.00E-05,0.01,5,off,off,10000,11,30000,3000,0,0,0,0,off,NA,0.1
61,completed,tropical,1,1.00E-05,0.01,7,on,on,10000,11,30000,3000,0,0,0,0,off,NA,0.1
62,completed,tropical,1,1.00E-05,0.01,7,on,off,10000,11,30000,3000,0,0,0,0,off,NA,0.1
63,completed,tropical,1,1.00E-05,0.01,7,off,on,10000,11,30000,3000,0,0,0,0,off,NA,0.1
64,completed,tropical,1,1.00E-05,0.01,7,off,off,10000,11,30000,3000,0,0,0,0,off,NA,0.1
65,completed,tropical,1,1.00E-05,0.01,9,on,on,10000,11,30000,3000,0,0,0,0,off,NA,0.1
